Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14
2026-05-06,407.11822745622237,417.51572107575487,404.23445872829495,413.0653381347656,30285900,410.6565673828125,396.61657348632815,54.08
2026-05-07,419.2020489501835,427.05506598481406,417.8549909144547,419.8606262207031,34942400,413.03641204833986,397.0191015625,57.82
2026-05-08,416.48795292910256,417.7252633012779,413.105264767488,414.22283935546875,33383800,415.24412994384767,397.28652221679687,53.9
2026-05-11,406.9885016374445,411.79809190456297,404.6236285818644,411.7681579589844,35657900,416.65557250976565,397.6840612792969,52.23
2026-05-12,413.58422243338293,414.6020070114768,405.76117016707224,406.8887023925781,38594200,417.3869873046875,397.8680627441406,49.0
2026-05-13,402.3286237155428,405.4318878236479,400.1633000811369,404.3342590332031,29667100,417.08713684082034,397.89360778808594,47.34
2026-05-14,403.6058516736889,410.94993067744383,400.013625877668,408.5451354980469,27077500,416.5468063354492,397.97802490234375,50.32
2026-05-15,413.3746572242232,427.24464052002446,412.01761111071977,421.0081481933594,50771200,416.50339965820314,398.20233947753906,57.9
2026-05-18,415.71960624154525,424.2012362508279,414.7117792841577,422.6246643066406,32564100,416.77630920410155,398.4933099365234,58.78
2026-05-19,428.9708919761278,431.7648588737268,415.58987007798993,416.51788330078125,33018700,416.4400375366211,398.6531640625,54.18
2026-05-20,413.2749005432513,421.18775475321456,410.4110776678385,420.1499938964844,27864000,415.8483184814453,398.9585021972656,56.37
2026-05-21,424.75,426.3399963378906,415.7099914550781,419.0899963378906,31393500,416.06024475097655,399.26020263671876,55.54
2026-05-22,419.5400085449219,424.3999938964844,416.3299865722656,418.57000732421875,22390300,415.80363006591796,399.61177307128906,55.11
2026-05-26,416.42999267578125,419.7699890136719,413.0199890136719,416.0299987792969,30398000,415.41003570556643,400.03847045898436,52.95
2026-05-27,411.010009765625,415.94000244140625,409.5799865722656,412.6700134277344,28901500,414.6274215698242,400.3101580810547,50.15
2026-05-28,412.9800109863281,429.489990234375,412.6700134277344,426.989990234375,47250500,414.79978942871094,400.8790222167969,59.88
2026-05-29,432.54998779296875,450.3299865722656,432.3599853515625,450.239990234375,79654400,416.9668533325195,402.06495666503906,70.09
2026-06-01,464.8399963378906,466.32000732421875,458.2699890136719,460.5199890136719,53628900,419.3156372070313,403.51177185058594,73.32
2026-06-02,446.8800048828125,453.5,440.42999267578125,441.30999755859375,37036800,420.7448333740234,404.7170776367187,60.22
2026-06-03,438.45001220703125,440.3900146484375,424.25,427.3399963378906,39037000,421.5872863769531,405.62043212890626,52.83
2026-06-04,435.80999755859375,436.1499938964844,426.4100036621094,428.04998779296875,26899500,422.3365188598633,406.74274353027346,53.15
